SEQ_ARTICULO,ARTICULO,REF_ALTERNATIVA,SEQ_CLIPRO,GRUPO,FAMILIA,SUBFAMILIA,FABRICANTE,NOMBRE,NOMBRE_ABR,NOMBRE_PRO,TIPO_ALMACEN,TIPO_IVA,IMPORTACION,DTO_CIAL,FEC_ALTA,FEC_BAJA,FEC_BAJA_COM,COD_BARRA,COD_BCAJA,UDS_ENV,UDS_MINIMA,PESO_UNIDAD,PESO_CAJA,UNID_PALET,PESO_PALET,FORMATO,ATR1_FORMATO,ATR2_FORMATO,ATR3_FORMATO,ATR4_FORMATO,ATR5_FORMATO,ATR6_FORMATO,CLAVE_DTO,DTO_FIJO,STOCK,MARGEN,CTA_VENTAS,CTA_COMPRAS,OBSER,SEQ_MARGEN,UNID_MEDIDA,NUM_PLANO,COD_CATEGORIA,GRUPED,ART_RAPEL,GRUPOFAB,STOCKPROV,UGV,SUBIDA,IMAGEN,NWPROD,LOTE,MP CAMISA,MP VASTAGO,MP VARILLAS,MP CABEZA PISTON,MP TAPA TRASERA,MP TAPA GUIA,DIM CAMISA,DIM VASTAGO,DIM VARILLAS,DIM CABEZA PISTON,DIM TAPA TRASERA,DIM TAPA GUIA,ALTA TEMPERATURA,AMORTIGUACION,CARRERA,DIAMETRO,AMARRE 0,AMARRE 1,EXTRA 1,AMARRE 2,EXTRA 2,AMARRE 3,AMARRE 4,AMARRE 5,EXTRA 3,AMARRE 6,EXTRA 4,EXTRA 5,EXTRA 6,EXTRA 7,EXTRA 8,EXTRA 9,AMARRE 7,AMARRE 8,AMARRE 9,KIT,AMARRE 10
201690,2016A300P708,2016A300P708,,5,140,,,CIL 2016A300P708,CIL 2016A300P708,,1,2,,,18/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,ACERO,NO,ACERO,640,40,16,8250,NO,3285600,0,1,300.0,160.0,BRIDA,CONTRATUERCA,,,,,,,,,,,,,,,,,,,
201715,ES54NV00P713,ES54NV00P713,,5,140,,,CIL ES54NV00P713,CIL ES54NV00P713,,1,2,,,23/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,PERFORADA,ACERO,NO,ALUMINIO,MP,MP,300183,60,NO,550,1,1,0,0,900.0,540.0,,,,,,,,,,,,,,,,,,,,,
201738,2006A080P725,2006A080P725,,5,140,,,CIL 2006A080P725,CIL 2006A080P725,,1,2,,,24/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,ALUMINIO,ACERO,MP,126,22,8,65,1760,1,0,1,80.0,63.0,CONTRATUERCA,BRIDA,,SOPORTE,,,,,,,,,,,,,,,,,
201747,2020A150P726,2020A150P726,,5,140,,,CIL 2020A150P726,CIL 2020A150P726,,1,2,,,25/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,1000,40,16,1,1,1,0,0,150.0,200.0,CONTRATUERCA,BRIDA,,,,,,,,,,,,,,,,,,,
201773,ES15A350P692,ES15A350P692,,5,140,,,CIL ES15A350P692,CIL ES15A350P692,,1,2,,,29/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,INOX,INOX,MP,MP,MP,750,40,14,1,1,1,1,1,350.0,150.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
201780,ES15A400P693,ES15A400P693,,5,140,,,CIL ES15A400P693,CIL ES15A400P693,,1,2,,,29/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,INOX,INOX,MP,MP,MP,750,40,14,1,1,1,1,0,400.0,150.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
201812,7010A500P694,7010A500P694,,5,140,,,CIL 7010A500P694,CIL 7010A500P694,,1,2,,,06/04/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,INOX,INOX,MP,MP,MP,100,45,10,1,1,1,0,1,500.0,100.0,HORQUILLA,CONTRATUERCA,VARILLA,,,,,,,,,,,,,,,,,,
201821,2025A400P730,2025A400P730,,5,140,,,CIL 2025A400P730,CIL 2025A400P730,,1,2,,,07/04/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,PERFORADA,INOX,NO,ACERO,MP,MP,66308,65,NO,250,1,1,0,0,400.0,250.0,CONTRATUERCA,SOPORTE,,,,,,,,,,,,,,,,,,,
201847,7012A100P729,7012A100P729,,5,140,,,CIL 7012A100P729,CIL 7012A100P729,,1,2,,,09/04/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,16500,32,12,1,1,1,0,1,100.0,125.0,CONTRATUERCA,,VARILLA,,,,,,,,,,,,,,,,,,
201854,ES09N125P728,ES09N125P728,,5,140,,,CIL ES09N125P728,CIL ES09N125P728,,1,2,,,09/04/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,NO,ACERO,NO,ACERO,29400,25,NO,4750,NO,4750,0,0,125.0,90.0,,,,,,,,,,,,,,,,,,,,,
