SEQ_ARTICULO,ARTICULO,REF_ALTERNATIVA,SEQ_CLIPRO,GRUPO,FAMILIA,SUBFAMILIA,FABRICANTE,NOMBRE,NOMBRE_ABR,NOMBRE_PRO,TIPO_ALMACEN,TIPO_IVA,IMPORTACION,DTO_CIAL,FEC_ALTA,FEC_BAJA,FEC_BAJA_COM,COD_BARRA,COD_BCAJA,UDS_ENV,UDS_MINIMA,PESO_UNIDAD,PESO_CAJA,UNID_PALET,PESO_PALET,FORMATO,ATR1_FORMATO,ATR2_FORMATO,ATR3_FORMATO,ATR4_FORMATO,ATR5_FORMATO,ATR6_FORMATO,CLAVE_DTO,DTO_FIJO,STOCK,MARGEN,CTA_VENTAS,CTA_COMPRAS,OBSER,SEQ_MARGEN,UNID_MEDIDA,NUM_PLANO,COD_CATEGORIA,GRUPED,ART_RAPEL,GRUPOFAB,STOCKPROV,UGV,SUBIDA,IMAGEN,NWPROD,LOTE,MP CAMISA,MP VASTAGO,MP VARILLAS,MP CABEZA PISTON,MP TAPA GUIA,MP TAPA TRASERA,DIM CAMISA,DIM VASTAGO,DIM VARILLAS,DIM CABEZA PISTON,DIM TAPA GUIA,DIM TAPA TRASERA
217764,2016AK00P129,2016AK00P129,,5,140,,,CIL 2016AK00P129,CIL 2016AK00P129,,1,2,,,12/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217765,2020A900P130,2020A900P130,,5,140,,,CIL 2020A900P130,CIL 2020A900P130,,1,2,,,12/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217766,2016AP00P131,2016AP00P131,,5,140,,,CIL 2016AP00P131,CIL 2016AP00P131,,1,2,,,12/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217767,2008A100P132,2008A100P132,,5,140,,,CIL 2008A100P132,CIL 2008A100P132,,1,2,,,12/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217774,2004A050P133,20040A0050P133,,5,140,,,CIL 20040A0050P133,CIL 20040A0050P133,,1,2,,,13/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217781,ES12A300P120,ES12A300P120,,5,140,,,CIL ES12A300P120,CIL ES12A300P120,,1,2,,,14/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217794,ES32A510P866,ES32A510P866,,5,140,,,CIL ES32A510P866,CIL ES32A510P866,,1,2,,,21/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217838,7708A200P103,7708A200P103,,5,140,,,CIL 7708A200P103,CIL 7708A200P103,,1,2,,,26/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217841,7012C755P146,7012C755P146,,5,140,,,CIL 7012C755P146,CIL 7012C755P146,,1,2,,,26/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217861,7016A160P094,7016A160P094,,5,140,,,CIL 7016A160P094,CIL 7016A160P094,,1,2,,,29/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217862,7020A250P083,7020A250P083,,5,140,,,CIL 7020A250P083,CIL 7020A250P083,,1,2,,,29/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217871,ES12A178P095,ES12A178P095,,5,140,,,CIL ES12A178P095,CIL ES12A178P095,,1,2,,,02/07/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217889,2008AA00P150,2008AA00P150,,5,140,,,CIL 2008AA00P150,CIL 2008AA00P150,,1,2,,,03/07/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217890,7016A150P149,7016A150P149,,5,140,,,CIL 7016A150P149,CIL 7016A150P149,,1,2,,,03/07/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217912,2008A335P152,2008A335P152,,5,140,,,CIL 2008A335P152,CIL 2008A335P152,,1,2,,,10/07/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217934,ES10AL06P081,ES10AL06P081,,5,140,,,CIL ES10AL06P081,CIL ES10AL06P081,,1,2,,,12/07/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217957,7012A200P066,7012A200P066,,5,140,,,CIL 7012A200P066,CIL 7012A200P066,,1,2,,,13/07/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217958,2006A600P154,20063A0600P154,,5,140,,,CIL 20063A0600P154 (04MS063A0600/05M12),CIL 20063A0600P154 (,,1,2,,,13/07/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,"Cil. Doble Vástago, Tapa Guía esp. (adap. Escuadra), Escuadra esp. acero ""/05"" (aguj. Pie a M12), NBR",,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217976,ES30A350P153,ES300A0350P153,,5,140,,,CIL ES300A0350P153,CIL ES300A0350P153,,1,2,,,20/07/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218008,2016A636P163,2016A636P163,,5,140,,,CIL 2016A636P163,CIL 2016A636P163,,1,2,,,14/08/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218013,2012A200P169,2012A200P169,,5,140,,,CIL 2012A200P169,CIL 2012A200P169,,1,2,,,14/08/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218020,7010A200P156,7010A200P156,,5,140,,,CIL 7010A200P156,CIL 7010A200P156,,1,2,,,14/08/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218021,7032A100P158,7032A100P158,,5,140,,,CIL 7032A100P158,CIL 7032A100P158,,1,2,,,16/08/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
218042,7808A200P155,7808A200P155,,4,747,,,CIL 7808A200P155,CIL 7808A200P155,,1,2,,,17/08/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,3.0,,,,,,,,,,,,,,,,
218046,2016A500P166,2016A500P166,,5,140,,,CIL 2016A500P166,CIL 2016A500P166,,1,2,,,17/08/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218047,2012A140P172,2012A140P172,,5,140,,,CIL 2012A140P172,CIL 2012A140P172,,1,2,,,17/08/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218051,2020A570P168,2020A570P168,,5,140,,,CIL 2020A570P168,CIL 2020A570P168,,1,2,,,20/08/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218056,2020A570P171,2020A570P171,,5,140,,,CIL 2020A570P171,CIL 2020A570P171,,1,2,,,20/08/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
