SEQ_CONJ;NIVEL_ALT;SEQ_ARTICULO;DESCRIPCION;VERIFICADO
364053;0;234143;MONTAJE COMPRESOR REF. A15M10P262;n
364054;0;234137;VASTAGO S/P 40.548/01;s
364055;0;234154;MATERIAL A10A11P216;n
364056;0;234151;CIL 20080A0475P885;s
364057;0;234173;CAMISA S/P 17.08.C-475;s
364058;0;234174;TIRANTE S/P 29.08.C-475;s
364059;0;234178;ESTRUCTURA S/P 15-0262/01;n
364060;0;234172;JUEGO JUNTAS KR08P160;n
364061;0;234084;CIL A81D080A0300;s
364062;0;234179;CAMISA S/P 81BA08A.C-300;s
364063;0;234180;VASTAGO S/P 80CA08B.C-300;s
364064;0;234181;MATERIAL AÑADIDO AL A10L10P214;n
364065;0;225002;CIL A81C050A0180;s
364066;0;234188;CAMISA S/P 81BA05A.C-180;n
364067;0;234189;VASTAGO S/P 80CA05B.C-180;s
364068;0;234190;SIL. CM2203 ROSCADO 3/8 REF. 21-0017;s
364069;0;234203;CIL A70C200A0510;n
364070;0;234204;CAMISA S/P 70BA20A.C-510;s
364071;0;234205;CIL 70200A0510P554;s
364072;0;234208;VASTAGO S/P 70CA20B.C-510;s
364073;0;234209;TIRANTE S/P 70DA16B.C-510;s
364074;0;234211;SOPORTE FIJACION ART. S/P SB70AN16;s
364075;0;234218;SOPORTE VALVULA S/P 20.598/02;s
364076;0;234124;CIL 20125A0275P547;s
364077;0;234220;VASTAGO S/P 40.547/01;s
364078;0;234221;TIRANTE S/P 40.547/04;s
364079;0;234222;TIRANTE S/P 40.547/05;s
364080;0;234230;TIRANTE S/P 80DA08A.C-43;s
364081;0;234231;TIRANTE S/P 80DA08A.C-97;s
364082;0;234235;TIRANTE S/P 70DA16B.LOG-168;s
364083;0;234236;TIRANTE S/P 70DA16B.LOG-268;s
364084;0;234237;TIRANTE S/P 70DA16B.LOG-96;s
364085;0;234238;TIRANTE S/P 70DA16B.LOG-540;s
364086;0;234125;CIL A030A080A0800;s
364087;0;234239;CAMISA S/P 30BA08A0800;s
364088;0;234240;VASTAGO S/P 30CA08A.C-800;s
364089;0;234244;TIRANTE S/P 30DA08A.C-800;s
364090;0;234164;CIL A030A080A0815;s
364091;0;234249;CAMISA S/P 30BA08A0815;s
364092;0;234253;VASTAGO S/P 30CA08A.C-815;s
364093;0;234255;TIRANTE S/P 30DA08A.C-815;s
364094;0;234287;TIRANTE S/P 70DA20B.LOG-81;s
364095;0;234288;TIRANTE S/P 70DA20B.LOG-555;s
364096;0;234289;TIRANTE S/P 70DA16B.LOG-555;s
364097;0;236672;"CONJ. FR+L+VALV. CORTE+MAN. R1/4""";s
364098;0;236673;"CONJ. FR+L+LLAVE DE CORTE+MAN. R 1/2""";s
364099;0;236674;"CONJ. FR+L+LLAVE DE CORTE+MAN. R 3/4""";s
364100;0;236677;TAPA TRASERA S/P 20.651/05;s
364101;0;236678;CASQUILLO TUERCA REG.S/P 20.651/04;s
364102;0;236684;CIL 80MS100A0750;s
364103;0;236688;CAMISA S/P 27.10.C- 750;s
364104;0;236703;KIT REPUESTO 70KR080/25;s
364105;0;236724;CAMISA S/P 70BA10A.C-455;s
364106;0;227411;CAMISA S/P 70BA20A.C-104;s
364107;0;234129;CIL. 2008A150P619/01;s
364108;0;236736;VASTAGO S/P 40.555/01;s
364109;0;236737;TIRANTE S/P 40.555/02;s
364110;0;236738;TIRANTE S/P 40.555/03;s
364111;0;234217;CIL 20200A0130P555;s
364112;0;236725;CIL AK80C080A0200;s
364113;0;234219;CIL. REF. 70160A0200P557;s
364114;0;236770;VASTAGO S/P 40.557/01;s
364129;0;236774;CABEZA PISTON 40.547/06 MODIF. 26.12.03M;s
364130;0;236773;CASQUILLO AMORTIGUACION S/P 40.547/07;s
364131;0;236748;CIL. 20100A0200P569;s
364132;0;201924;TIRANTE S/P 20.734/06;s
364133;0;201925;TIRANTE S/P 20.734/07;s
364134;0;201927;TUERCA RETENCION S/P 20.734/09;s
364135;0;234131;CIL ES063N0250P545;s
364136;0;236805;CAMISA S/P 40.545/01;s
364137;0;236806;TIRANTE S/P 40.545/06;s
364138;0;236808;CONJUNTO CABEZA PISTON S/P 40.545/02;s
364139;0;236809;TAPA GUIA S/P 40.545/03;s
364140;0;236811;PLACA PISTON S/P 40.545/04;s
364141;0;236813;BRIDA S/P 40.545/05;s
364153;0;236817;SEGMENTO DESLIZ. (MODIF. 701015);s
364154;0;236790;CIL AA70C160A0300M;s
364155;0;234184;CIL 20250A0270P549;s
364156;0;234158;HORQUILLA S/P 40.549/01;s
364157;0;234159;ARTICULACION HEMBRA S/P 40.549/02;s
364158;0;236848;CAMISA S/P 70BA16A.C-408;s
364159;0;234160;BULON S/P 40.549/03;s
364160;0;234161;BULON S/P 40.549/04;s
364161;0;236849;CIL AF76A050A0400;s
364162;0;236850;CAMISA S/P 76BA05A0400;s
364163;0;236851;CIL A76A080A0400;s
364164;0;236852;CAMISA S/P 76BA08A.C-400;s
364165;0;236854;TIRANTE S/P 70DA10A.LOG-111;s
364166;0;236855;TIRANTE S/P 70DA10A.LOG-196;s
364167;0;236856;KIT 80050 PARA FUELLE;s
364168;0;222265;CIL A70C200A0500M;s
364169;0;236857;CIL70200A0500P571;s
364170;0;236858;CIL A76A080A1400;s
364171;0;236859;CAMISA S/P 76BA08A.C-1400;s
364172;0;236860;VASTAGO S/P 80CA08B.C-1400;s
364173;0;224854;HORQUILLA HEMBRA S/P 20.952/08;s
364174;0;236891;UNIDAD DE GUIADO A72A080G0400;s
364175;0;236892;VASTAGO S/P 72CA08A.C-400;s
364176;0;236904;JUEGO REP KR08P578;n
364177;0;189745;ZUNCHO S/P B25.25.12;s
364178;0;236917;ARMAZON PATAS A12C11P650;s
364179;0;236918;ARMAZON DE PATAS A12C11P651;n
364180;0;236919;ARMAZON PATAS REF. A12C11P652;s
364181;0;236920;ARMAZON PATAS REF. A12C11P653;s
364182;0;236921;ARMAZON PATAS REF. A12C11P654;n
364183;0;236923;ARMAZON PATAS REF. A12C11P655;s
364184;0;236924;ARMAZON PATAS REF. A12C11P656;s
364185;0;236944;PANEL A11C11P265;s
364186;0;236945;PANEL A11C11P266;s
364187;0;236948;PANEL A11C11P267;s
364188;0;236949;PANEL A11C11P268;s
364189;0;236951;PANEL A11C11P269;s
364190;0;236952;PANEL A11C11P270;s
364191;0;236953;PANEL A11C11P271;s
364192;0;236954;PANEL A11C11P272;s
364193;0;236978;PANEL A11C11P273;s
364194;0;236962;TAPA GUIA S/P 40.517/06;s
364195;0;236963;TAPA TRASERA S/P 40.517/07;s
364196;0;236958;PISTON GRANDE S/P 40.517/04;s
364197;0;236959;PISTON PEQUEÑO S/P 40.517/05;s
364198;0;236950;CILINDRO ES090AD0100P517;s
364199;0;236981;PANEL A11C11P274;s
364200;0;236982;PANEL A11C11P275;s
364201;0;236965;TIRANTE S/P 40.517/09;s
364202;0;236983;PANEL A11C11P276;s
364203;0;236966;CASQ.AMORT DELANTERO S/P 40.517/10;s
364204;0;236937;CIL 70200A0350P579;s
364205;0;236986;SOPORTE VALVULA S/P 40.579/01;s
364206;0;194616;ROTULA S/P B30AH06;s
364207;0;202290;CASQUILLO PAP 7540 P10;s
364208;0;237020;PANEL NEUMATICO REF. A11M10P239;s
364209;0;237021;PANEL NEUMATICO REF. A11M10P240;n
364210;0;237022;PANEL NEUMATICO REF. A11M10P241;n
364211;0;237023;PANEL NEUMATICO REF. A11M10P242;n
364212;0;237024;PANEL NEUMATICO REF. A11M10P243;n
364213;0;237025;PANEL NEUMATICO REF. A11M10P244;n
364214;0;237027;RACORERIA PANEL A11C11P266;n
364215;0;237030;RACORERIA PANEL A11C11P267;n
364216;0;237032;RACORERIA PANEL A11C11P268;n
364217;0;237033;PANEL REF. A11D11P287;s
364218;0;237034;RACORERIA PANEL A11C11P269;n
364219;0;237035;PANEL REF. A11D11P288;s
364220;0;237036;RACORERIA PANEL A11C11P270;n
364221;0;237037;RACORERIA PANEL A11C11P271;n
364222;0;237038;RACORERIA PANEL A11C11P265;n
364223;0;237040;PANEL NEUMATICO REF. A11M10P245;n
364224;0;237042;PANEL NEUMATICO REF. A11M10P246;n
364225;0;237043;PANEL NEUMATICO REF. A11M10P247;n
364226;0;237044;MATERIAL SUELTO DEL PANEL A11M10P239;n
364227;0;237045;MATERIAL SUELTO DEL PANEL A11M10P240;n
364228;0;237046;MATERIAL SUELTO DEL PANEL A11M10P241;n
364229;0;237047;MATERIAL SUELTO DEL PANEL A11M10P242;n
364230;0;237015;CONJ. PISTOLA+RACORES+MANGERA A10D11P222;s
364231;0;237048;MATERIAL SUELTO DEL PANEL A11M10P243;n
364232;0;237049;MATERIAL SUELTO DEL PANEL A11M10P244;n
364233;0;237051;MATERIAL SUELTO DEL PANEL A11M10P245;n
364234;0;237052;MATERIAL SUELTO DEL PANEL A11M10P246;n
364235;0;237053;MATERIAL SUELTO DEL PANEL A11M10P247;n
364236;0;237055;MONTAJE COMPRESOR REF. A15M10P259;n
364237;0;237057;CONJUNTO TAPA GUIA S/P G30.905/04;s
364238;0;236719;CIL 40LS125A0150;s
364239;0;237060;VASTAGO INOX. S/P 40.28.10.C-150;s
364240;0;237059;PANEL NEUMATICO REF. A11M10P248;s
364241;0;237061;PANEL NEUMATICO REF. A11M10P249;s
364242;0;237062;PANEL NEUMATICO REF. A11M10P250;s
364243;0;237063;PANEL NEUMATICO REF. A11M10P251;s
364244;0;237064;PANEL NEUMATICO REF. A11M10P252;s
364245;0;237065;PANEL NEUMATICO REF. A11M10P253;s
